date,weekday,holiday_name,holiday_type
2022-01-01,Saturday,New Year's Day,National holiday
2022-01-02,Sunday,Tweede Nuwe Jaar,Observance
2022-02-28,Monday,Maha Shivaratri,Hinduism
2022-03-01,Tuesday,Isra and Mi'raj,Muslim
2022-03-18,Friday,Holi,Hinduism
2022-03-20,Sunday,March Equinox,Season
2022-03-21,Monday,Human Rights Day,National holiday
2022-04-15,Friday,Good Friday,National holiday
2022-04-16,Saturday,Holy Saturday,Observance
2022-04-17,Sunday,Easter Sunday,Observance
2022-04-18,Monday,Family Day,National holiday
2022-04-27,Wednesday,Freedom Day,National holiday
2022-04-28,Thursday,Laylatul Qadr (Night of Power),Muslim
2022-05-01,Sunday,Workers' Day,National holiday
2022-05-02,Monday,Day off for Workers' Day,National holiday
2022-05-03,Tuesday,Eid ul Fitr,Muslim
2022-05-08,Sunday,Mother's Day,Observance
2022-06-16,Thursday,Youth Day,National holiday
2022-06-19,Sunday,Father's Day,Observance
2022-06-21,Tuesday,June Solstice,Season
2022-07-10,Sunday,Eid al-Adha,Muslim
2022-07-18,Monday,Nelson Mandela Day,Observance
2022-07-31,Sunday,Muharram/Islamic New Year,Muslim
2022-08-09,Tuesday,National Women's Day,National holiday
2022-08-11,Thursday,Raksha Bandhan,Hinduism
2022-08-19,Friday,Janmashtami,Hinduism
2022-08-31,Wednesday,Ganesh Chaturthi,Hinduism
2022-09-23,Friday,September Equinox,Season
2022-09-24,Saturday,Heritage Day,National holiday
2022-09-26,Monday,Navaratri,Hinduism
2022-10-05,Wednesday,Dussehra,Hinduism
2022-10-09,Sunday,Milad un Nabi (Mawlid),Muslim
2022-10-24,Monday,Diwali/Deepavali,Hinduism
2022-12-16,Friday,Day of Reconciliation,National holiday
2022-12-21,Wednesday,December Solstice,Season
2022-12-24,Saturday,Christmas Eve,Observance
2022-12-25,Sunday,Christmas Day,National holiday
2022-12-26,Monday,Day of Goodwill,National holiday
2022-12-31,Saturday,New Year's Eve,Observance
2023-01-01,Sunday,New Year's Day,National holiday
2023-01-02,Monday,Day off for New Year's Day,National holiday
2023-01-02,Monday,Tweede Nuwe Jaar,Observance
2023-02-18,Saturday,Isra and Mi'raj,Muslim
2023-02-18,Saturday,Maha Shivaratri,Hinduism
2023-03-07,Tuesday,Holi,Hinduism
2023-03-20,Monday,March Equinox,Season
2023-03-21,Tuesday,Human Rights Day,National holiday
2023-04-07,Friday,Good Friday,National holiday
2023-04-08,Saturday,Holy Saturday,Observance
2023-04-09,Sunday,Easter Sunday,Observance
2023-04-10,Monday,Family Day,National holiday
2023-04-17,Monday,Laylatul Qadr (Night of Power),Muslim
2023-04-22,Saturday,Eid ul Fitr,Muslim
2023-04-27,Thursday,Freedom Day,National holiday
2023-05-01,Monday,Workers' Day,National holiday
2023-05-14,Sunday,Mother's Day,Observance
2023-06-16,Friday,Youth Day,National holiday
2023-06-18,Sunday,Father's Day,Observance
2023-06-21,Wednesday,June Solstice,Season
2023-06-29,Thursday,Eid al-Adha,Muslim
2023-07-18,Tuesday,Nelson Mandela Day,Observance
2023-07-19,Wednesday,Muharram/Islamic New Year,Muslim
2023-08-09,Wednesday,National Women's Day,National holiday
2023-08-30,Wednesday,Raksha Bandhan,Hinduism
2023-09-07,Thursday,Janmashtami,Hinduism
2023-09-18,Monday,Ganesh Chaturthi,Hinduism
2023-09-23,Saturday,September Equinox,Season
2023-09-24,Sunday,Heritage Day,National holiday
2023-09-25,Monday,Day off for Heritage Day,National holiday
2023-09-27,Wednesday,Milad un Nabi (Mawlid),Muslim
2023-10-15,Sunday,Navaratri,Hinduism
2023-10-23,Monday,Dussehra,Hinduism
2023-11-12,Sunday,Diwali/Deepavali,Hinduism
2023-12-16,Saturday,Day of Reconciliation,National holiday
2023-12-22,Friday,December Solstice,Season
2023-12-24,Sunday,Christmas Eve,Observance
2023-12-25,Monday,Christmas Day,National holiday
2023-12-26,Tuesday,Day of Goodwill,National holiday
2023-12-31,Sunday,New Year's Eve,Observance
