code,locality,province,locality_url,event_count
cape-town,Cape Town,Western Cape,/events/south-africa/western-cape/cape-town,870
stellenbosch,Stellenbosch,Western Cape,/events/south-africa/western-cape/stellenbosch,398
johannesburg,Johannesburg,Gauteng,/events/south-africa/gauteng/johannesburg,299
sandton,Sandton,Gauteng,/events/south-africa/gauteng/sandton,177
pretoria,Pretoria,Gauteng,/events/south-africa/gauteng/pretoria,141
durban,Durban,Kwazulu Natal,/events/south-africa/kwazulu-natal/durban,100
gqeberha,Gqeberha,Eastern Cape,/events/south-africa/eastern-cape/gqeberha,99
randburg,Randburg,Gauteng,/events/south-africa/gauteng/randburg,90
midrand,Midrand,Gauteng,/events/south-africa/gauteng/midrand,52
centurion,Centurion,Gauteng,/events/south-africa/gauteng/centurion,47
sedgefield,Sedgefield,Western Cape,/events/south-africa/western-cape/sedgefield,47
roodepoort,Roodepoort,Gauteng,/events/south-africa/gauteng/roodepoort,43
george,George,Western Cape,/events/south-africa/western-cape/george,36
boksburg,Boksburg,Gauteng,/events/south-africa/gauteng/boksburg,31
alberton,Alberton,Gauteng,/events/south-africa/gauteng/alberton,28
knysna,Knysna,Western Cape,/events/south-africa/western-cape/knysna,27
benoni,Benoni,Gauteng,/events/south-africa/gauteng/benoni,27
bloemfontein,Bloemfontein,Free State,/events/south-africa/free-state/bloemfontein,23
soweto,Soweto,Gauteng,/events/south-africa/gauteng/soweto,20
paarl,Paarl,Western Cape,/events/south-africa/western-cape/paarl,20
darling,Darling,Western Cape,/events/south-africa/western-cape/darling,19
germiston,Germiston,Gauteng,/events/south-africa/gauteng/germiston,18
plettenberg-bay,Plettenberg Bay,Western Cape,/events/south-africa/western-cape/plettenberg-bay,18
pietermaritzburg,Pietermaritzburg,Kwazulu Natal,/events/south-africa/kwazulu-natal/pietermaritzburg,18
umhlanga,Umhlanga,Kwazulu Natal,/events/south-africa/kwazulu-natal/umhlanga,17
oudtshoorn,Oudtshoorn,Western Cape,/events/south-africa/western-cape/oudtshoorn,17
east-london,East London,Eastern Cape,/events/south-africa/eastern-cape/east-london,16
prince-albert,Prince Albert,Western Cape,/events/south-africa/western-cape/prince-albert,16
hermanus,Hermanus,Western Cape,/events/south-africa/western-cape/hermanus,16
rustenburg,Rustenburg,North West,/events/south-africa/north-west/rustenburg,15
muldersdrift,Muldersdrift,Gauteng,/events/south-africa/gauteng/muldersdrift,13
kempton-park,Kempton Park,Gauteng,/events/south-africa/gauteng/kempton-park,13
potchefstroom,Potchefstroom,North West,/events/south-africa/north-west/potchefstroom,12
hillcrest,Hillcrest,Kwazulu Natal,/events/south-africa/kwazulu-natal/hillcrest,12
hartbeespoort,Hartbeespoort,North West,/events/south-africa/north-west/hartbeespoort,12
ballito,Ballito,Kwazulu Natal,/events/south-africa/kwazulu-natal/ballito,11
lethabong,Lethabong,Gauteng,/events/south-africa/gauteng/lethabong,11
krugersdorp,Krugersdorp,Gauteng,/events/south-africa/gauteng/krugersdorp,11
berea,Berea,Kwazulu Natal,/events/south-africa/kwazulu-natal/berea,11
saint-francis-bay,Saint Francis Bay,Eastern Cape,/events/south-africa/eastern-cape/saint-francis-bay,10
port-elizabeth,Port Elizabeth,Eastern Cape,/events/south-africa/eastern-cape/port-elizabeth,10
mossel-bay,Mossel Bay,Western Cape,/events/south-africa/western-cape/mossel-bay,10
johannesburg-south,Johannesburg South,Gauteng,/events/south-africa/gauteng/johannesburg-south,10
howick,Howick,Kwazulu Natal,/events/south-africa/kwazulu-natal/howick,10
edenvale,Edenvale,Gauteng,/events/south-africa/gauteng/edenvale,9
pinetown,Pinetown,Kwazulu Natal,/events/south-africa/kwazulu-natal/pinetown,9
gillitts,Gillitts,Kwazulu Natal,/events/south-africa/kwazulu-natal/gillitts,8
durban-north,Durban North,Kwazulu Natal,/events/south-africa/kwazulu-natal/durban-north,8
sutherland,Sutherland,Northern Cape,/events/south-africa/northern-cape/sutherland,8
simola-golf-and-country-estate,Simola Golf and Country Estate,Western Cape,/events/south-africa/western-cape/simola-golf-and-country-estate,8
outer-west-durban,Outer West Durban,Kwazulu Natal,/events/south-africa/kwazulu-natal/outer-west-durban,8
middelburg,Middelburg,Eastern Cape,/events/south-africa/eastern-cape/middelburg,8
kugompo-city,KuGompo City,Eastern Cape,/events/south-africa/eastern-cape/kugompo-city,8
westville,Westville,Kwazulu Natal,/events/south-africa/kwazulu-natal/westville,7
pringle-bay,Pringle Bay,Western Cape,/events/south-africa/western-cape/pringle-bay,7
polokwane,Polokwane,Limpopo,/events/south-africa/limpopo/polokwane,7
klerksdorp,Klerksdorp,North West,/events/south-africa/north-west/klerksdorp,7
vanderbijlpark,Vanderbijlpark,Gauteng,/events/south-africa/gauteng/vanderbijlpark,6
simondium,Simondium,Western Cape,/events/south-africa/western-cape/simondium,6
richards-bay,Richards Bay,Kwazulu Natal,/events/south-africa/kwazulu-natal/richards-bay,6
nigel,Nigel,Gauteng,/events/south-africa/gauteng/nigel,6
heidelberg-gp,Heidelberg - GP,Gauteng,/events/south-africa/gauteng/heidelberg-gp,6
emanzimtoti,eManzimtoti,Kwazulu Natal,/events/south-africa/kwazulu-natal/emanzimtoti,5
emalahleni,Emalahleni,Mpumalanga,/events/south-africa/mpumalanga/emalahleni,5
worcester,Worcester,Western Cape,/events/south-africa/western-cape/worcester,5
vereeniging,Vereeniging,Gauteng,/events/south-africa/gauteng/vereeniging,5
springs,Springs,Gauteng,/events/south-africa/gauteng/springs,5
piketberg,Piketberg,Western Cape,/events/south-africa/western-cape/piketberg,5
brakpan,Brakpan,Gauteng,/events/south-africa/gauteng/brakpan,5
akasia,Akasia,Gauteng,/events/south-africa/gauteng/akasia,5
kloof,Kloof,Kwazulu Natal,/events/south-africa/kwazulu-natal/kloof,5
kimberley,Kimberley,Northern Cape,/events/south-africa/northern-cape/kimberley,5
greyton,Greyton,Western Cape,/events/south-africa/western-cape/greyton,4
grabouw,Grabouw,Western Cape,/events/south-africa/western-cape/grabouw,4
franschhoek,Franschhoek,Western Cape,/events/south-africa/western-cape/franschhoek,4
fourways,Fourways,Gauteng,/events/south-africa/gauteng/fourways,4
emdloti,eMdloti,Kwazulu Natal,/events/south-africa/kwazulu-natal/emdloti,4
wilderness,Wilderness,Western Cape,/events/south-africa/western-cape/wilderness,4
white-river,White River,Mpumalanga,/events/south-africa/mpumalanga/white-river,4
